2017-03-11 13:47:31,153 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.websystique.springmvc:SpringMVCHibernateManyToManyCRUDExample:1.0.0 @ Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\pom.xml.
2017-03-11 20:55:47,624 [Worker-198] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 20:57:11,539 [Worker-188] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:57:11,550 [Worker-188] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 20:57:11,553 [Worker-188] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:57:11,562 [Worker-188] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 21:16:22,645 [Worker-193] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for SpringMVCHibernateWithSpringSecurityExample
2017-03-11 21:16:23,124 [Worker-193] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 21:16:23,130 [Worker-193] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 21:16:23,135 [Worker-193] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 21:16:23,140 [Worker-193] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 21:16:23,141 [Worker-193] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SpringMVCHibernateWithSpringSecurityExample
